Feature	Description	Normal_1	Normal_2	Normal_3	Normal_4	Normal_5	Normal_6	Normal_7	Normal_8	Barrett's Esophagus_1	Barrett's Esophagus_2	Barrett's Esophagus_3	Barrett's Esophagus_4	Barrett's Esophagus_5	Barrett's Esophagus_6	Barrett's Esophagus_7	Barrett's Esophagus_8	EAC_1	EAC_2	EAC_3	EAC_4	EAC_5	EAC_6	EAC_7	EAC_8
SLC35E2B	NA	7.005154185	6.978772766	6.604485683	6.346688439	6.786152457	7.06373286	6.882129731	7.416859422	7.020011961	6.748759547	6.570322581	6.084271597	6.636208988	7.000243298	6.738270971	7.072421901	6.135131897	7.207711712	6.264159877	6.666829558	6.619539731	7.408591171	6.627776791	6.725633702
SLC35E3	NA	5.772063982	5.592478405	5.064491967	4.763881877	6.021508668	6.259390241	5.922918005	5.82334171	4.811371017	4.923623917	5.272486607	5.285232127	5.428028973	5.683239573	5.890538629	5.08202529	4.940927882	5.011301739	5.462983988	6.905753276	6.638567789	5.441118165	6.618872486	5.008633291
SLC35F2	NA	6.382661683	6.570882962	6.466300233	6.006599435	6.439030831	6.451733447	6.505485062	5.29179615	6.359054703	6.152307072	6.424869024	5.956096403	6.227721738	5.652138242	6.533643479	6.438071599	6.709060408	5.994210773	6.052794802	6.833785759	6.351932289	6.351757937	5.499215309	6.306457752
SLC35F5	NA	3.663561646	3.384390263	1.871802177	3.288401888	2.970414466	0	2.890371758	1.704748092	2.912350665	2.965273066	2.397895273	1.458615023	3.254242969	3.514526067	0.641853886	0.78845736	1.098612289	3.912023005	0.641853886	3.943521672	3.314186005	2.197224577	3.411147713	2.93385687
SLC36A1	NA	5.37296091	5.341376856	5.659830587	5.922650231	5.093136516	5.230573714	5.301811256	5.243861181	5.833933159	5.674010316	5.777032936	6.329542637	5.428028973	5.398615088	5.602118821	5.550242719	6.252481751	6.1014394	5.829827582	5.839769184	5.091293197	6.1014394	5.58762312	6.205567354
SLC37A1	NA	6.101887228	5.964350255	5.907267388	5.629418059	5.635860458	5.708770016	5.701446415	4.122283931	6.71417053	5.634075062	6.512636463	5.170483995	5.111987788	5.511410582	6.395595432	6.823286122	6.04310778	6.393088956	5.295312858	5.322522055	5.556828062	4.968423445	6.435348765	6.512933331
SLC37A4	NA	4.571725144	5.119746626	5.533276054	5.285748454	4.573870651	5.40470213	5.15678267	4.207283356	6.067271673	5.176556219	5.264458381	5.320526726	4.937557928	5.693133883	5.14656541	5.897480639	5.827915145	5.83923796	5.628838382	5.224201625	5.159954213	5.461393829	5.386886335	5.465940609
SLC38A1	NA	6.50174002	6.623002246	5.978125983	5.512218336	5.94751266	6.431814057	6.686235409	7.115419643	6.97082397	7.620410926	7.317610735	6.204355722	6.630287529	6.843536707	7.278214778	6.082447195	7.677956089	7.178087713	7.088659165	6.975881108	6.030925616	6.597282118	6.119857762	6.388057077
SLC38A10	NA	6.029482614	5.923185706	7.068001628	6.737441341	7.005879677	6.520326533	6.463965057	6.843216758	7.130178571	7.17930797	6.913538524	6.874508685	6.869949564	7.101099199	6.698637899	7.102334733	7.192558211	7.286602589	7.027935439	7.280559445	6.975320465	7.572863003	7.570237045	6.870676271
SLC38A2	NA	8.423546275	8.572064881	7.099566668	6.521503405	7.151767384	8.07747139	8.537113967	7.518874169	7.594502276	7.643532538	8.310306511	7.818867684	8.282855301	7.678211459	8.387895198	7.576820047	7.022227044	6.544917056	7.603566947	7.580583454	7.351241398	7.154725361	7.392763137	7.602493934
SLC38A3	NA	3.117949906	4.283586562	3.850147602	3.363841595	3.284663565	3.414442608	3.214867803	3.610917913	3.540959324	3.284663565	4.180522258	4.526126979	3.653252276	2.923161581	4.302712828	3.867025639	4.409155302	4.767289035	3.025291076	4.649187071	4.593097605	3.523415014	4.254193263	3.947390149
SLC38A4	NA	4.135166557	2.501435952	3.875359021	3.768152635	2.856470206	3.546739687	4.231203745	3.054001182	3.449987546	-0.510825624	3.937690752	3.222867846	2.944438979	2.778819272	3.835141961	3.161246712	0.741937345	2.57261223	0.741937345	3.303216973	2.415913778	3.058707073	2.965273066	4.216562195
SLC38A6	NA	4.721173862	4.360547603	4.71939133	2.602689685	4.801559	4.589040804	4.844974178	4.774912961	4.919250732	4.290459441	4.779123493	4.684905154	4.708628894	4.631812117	4.946629964	4.570578741	4.291828367	4.769836808	5.487283466	4.714024591	4.593097605	5.175584601	5.328846572	5.297316866
SLC38A7	NA	5.298578174	5.286343451	5.581295616	5.528495997	4.785469244	4.895871826	4.629485882	5.144672545	4.850458242	4.743362542	5.559187749	5.330048691	5.087981454	5.403178237	4.948089058	4.985324074	5.342709416	5.445797843	5.284306786	5.145790199	4.473062215	5.371158321	5.329361477	4.773603345
SLC39A1	NA	5.822749994	5.3546977	6.399925164	6.779808265	5.983180328	6.156555167	5.842674474	5.760477818	6.27174429	6.012736682	6.452837287	6.306275287	5.761736868	5.897428555	5.658785109	5.781669013	6.687607237	6.185179288	5.90835464	5.873525249	5.323985113	6.433261584	6.621006105	6.19990047
SLC39A14	NA	5.500441551	5.146912912	4.973279508	4.109233175	6.915028763	5.33753808	4.428433007	7.182504076	8.199574112	7.941082101	7.062277318	7.180222186	7.320593141	7.497761701	7.784681287	8.046036898	8.216142151	7.619282507	8.383890344	7.893684008	6.847686753	8.156911752	8.791349198	8.330598518
SLC39A2	NA	6.794362592	7.166034287	7.663971151	7.238855972	7.280559445	7.194136506	6.825351453	4.941642423	5.582744146	5.538907831	6.809260032	5.560681631	6.175243375	6.999696153	6.427620503	6.118757773	5.578219252	5.285738584	5.193512252	5.700109069	7.05012252	5.330784557	5.595083058	5.382658515
SLC39A4	NA	5.654942309	5.534574557	5.624739267	6.971199452	6.47866324	6.057252288	6.06401774	4.857484115	7.371803711	6.586309576	5.754792396	6.335586025	6.215407779	6.939641468	6.951485042	6.751101469	7.786842462	7.551081765	7.236267346	6.583547525	6.599189996	7.3995204	6.726832743	7.238209443
SLC39A6	NA	6.288172339	6.090047541	5.191141213	4.76709666	5.945835721	6.32236478	6.39344139	6.434015486	6.019776096	6.127344683	6.587966972	6.349801558	6.849800027	6.043944634	6.40793188	5.734394513	5.395833417	4.845073522	6.269474337	6.746456113	6.105520392	6.514429637	6.447804658	6.150331783
SLC39A8	NA	4.246651419	3.896091057	3.659420591	4.069304635	4.534962196	4.310781776	3.831312106	4.629888533	4.557969315	4.576979786	4.548427999	4.595488486	4.263427624	4.227584181	4.590770909	4.358070359	4.257053071	4.218416668	4.511736797	4.671470656	4.419873961	4.263830211	4.392541333	4.348053213
SLC39A9	NA	4.508468794	4.113150049	4.380878396	4.264664567	4.223758025	4.839089019	4.494639089	4.072119376	4.393551906	4.39015318	4.713089038	4.299893573	4.655539104	4.261996139	4.514085754	4.129527878	4.687636192	4.013862752	4.460580018	3.808257155	4.416498875	4.016836168	4.805213719	4.519481721
SLC3A1	NA	3.765840495	3.589059119	3.763522997	3.826465117	2.57261223	3.594568775	3.970291914	4.48187197	6.283947577	5.636573725	5.689345427	3.532225644	3.786459782	6.817721156	6.143756357	7.041761559	4.49980967	5.935951837	7.101346428	4.180522258	3.629660094	4.865224091	4.932313327	7.042111331
SLC3A2	NA	6.909653476	6.529710766	7.139263747	6.983604591	7.090576711	6.818596143	6.628305891	6.37927472	6.561454904	6.254405568	6.902843235	6.782758789	6.927557906	6.939932011	6.610022871	6.736254961	7.035972577	6.586861072	7.005426306	6.814323334	6.880795097	6.649502551	6.629363253	6.565124115
SLC41A3	NA	5.947773858	5.81978615	6.380122537	5.990714266	6.010776858	6.119857762	6.042395276	6.462405237	6.07833008	5.945158794	6.026831691	5.979138897	5.836563586	6.34808949	5.750666061	6.305910257	6.272688309	5.90481674	6.27174429	5.877735782	6.214208018	6.381985208	6.228116448	5.995954452
SLC43A1	NA	5.390440655	5.206750173	5.624739267	5.81711116	6.29489693	5.355642433	5.523858042	6.283574303	6.120077615	6.331323898	6.001662372	5.431973751	6.22436039	6.792905437	6.338417384	6.516784617	5.532994154	5.943848693	6.264920912	6.104793232	5.898526551	5.931714543	5.230573714	6.652088536
SLC43A3	NA	5.898877587	5.862922666	6.218325505	6.123916364	6.145050715	6.074974668	5.689482933	5.723888312	5.820477513	5.810164611	6.140989158	5.72769722	6.192208883	6.11792314	5.544010312	5.802617392	5.741684883	4.455684743	5.761953474	6.621388754	5.902307374	6.089134182	5.618621158	6.539280692
SLC44A1	NA	4.291828367	4.479606963	2.341805806	2.821378886	4.318820559	2.587764035	4.084294226	5.155601064	5.724238483	4.678420648	4.748404354	4.902307417	3.987130478	3.303216973	4.980863136	2.360854001	5.976858395	5.051137237	5.191845122	5.191845122	4.430816799	4.280824129	4.734442522	2.833213344
SLC44A4	NA	2.174751721	3.034952987	3.992680908	2.839078464	5.908082938	5.144000006	4.557029811	4.117409835	7.39209318	7.489244378	6.697034248	5.659482216	5.178970609	7.225044696	7.444248649	8.031547866	6.938963206	6.976067919	7.210596863	8.328185331	5.780743516	7.116231793	8.033009499	8.365206834
SLC45A2	NA	4.244094298	4.52287848	4.581770063	5.084286364	4.588282165	3.492487773	3.49505458	3.156819311	3.412377016	3.515680664	4.204703758	4.284655573	3.637530755	3.349897931	3.637177405	3.739740155	3.91480525	2.727168863	3.009296607	3.125797775	3.56048485	3.017118319	3.718435311	3.504568947
SLC46A3	NA	4.555979942	4.822697999	4.387014176	3.135494216	4.290459441	4.9698133	4.616110126	6.299684271	5.726847748	6.428266811	5.903725633	4.737951297	5.25593165	5.111385197	6.339123973	6.155070386	5.053694784	6.76883798	6.490875268	6.561313511	5.095589	6.407869595	6.365782926	6.303351308
SLC47A1	NA	2.140066163	2.028148247	2.970414466	3.100092289	2.351375257	2.332143895	3.33220451	2.459588842	3.496507561	2.341805806	2.054123734	2.128231706	3.339321978	2.791165108	2.557227311	2.714694744	2.674148649	3.77505715	3.314186005	2.667228207	2.370243741	2.174751721	3.349904087	2.766319109
