"","t0","t2","t4","t6","t8","t12"
"HIST2H2BC///HIST2H2BE",13.2193900973184,13.6043225609523,13.4802660284095,12.7562172732198,12.5399113966598,13.2936740975597
"NR4A1",9.15988570790717,11.6016132329867,10.0965746590099,9.56315783180831,9.75889784346264,9.22542886787453
"TPX2",11.8411420599132,11.8978701748926,12.3251684397207,12.6984004415298,12.7823217038923,12.0091958535666
"TROAP",10.2862315409673,10.2846458908709,11.119868994164,11.5272379265244,11.3532360557128,9.71232626572014
"HIST2H4A",13.1978354381145,14.1364487531049,13.9174552948378,12.7148297153335,12.081132150019,13.4705266450783
"PHLDA1",8.48678023501045,10.205359214046,9.7453412941421,8.9355409522838,8.8856687800456,8.70227490407475
"HIST1H3H///HIST1H2AI",10.5286424166851,12.058413400932,11.3401247195485,9.81003573105465,9.62922493301924,11.4650740962213
"NRG4",11.7504102214422,11.619861957684,11.2582426768079,10.9973308733361,10.8191920083214,11.0533602896767
"CKAP2",11.8461757729036,11.9385718085108,12.2779521174299,12.5433808173679,12.4990415380809,11.6910608616888
"MYO10",10.3890179225608,10.4650074999922,11.0140300281864,11.3564490773849,11.5382125997863,11.2361499077878
"HIST1H2AL",8.85766112381928,9.91392336091054,9.59442532355916,8.40157812095355,8.18497888606942,9.10672879135033
"DEPDC1",11.0017948818309,11.1322842692404,11.8175240748546,12.2928319685611,12.0919282477158,10.8744198692671
"ATF7IP",10.6138423443917,10.633018959814,11.1625252749709,11.8762645203144,11.9204080357878,11.2339924602423
"HIST1H1C",10.3668438006192,11.2431592292647,10.9309662397672,10.0921155618618,9.75580539655783,11.0850707635459
"ASPM",11.473114907349,11.5379474917224,12.0539736362114,12.4146016589047,12.3798654810914,11.5061280674857
"CYR61",10.4039547784296,11.9369010462309,11.3326986317183,10.7994127765936,11.0109403383977,10.6529098245922
"RPL27A",9.18887523989779,9.45901227492131,9.19707245556625,9.54805652821031,10.4976821477096,9.6151316998452
"FNDC3B",10.6205796719826,11.1853726721239,11.8305530086514,11.7798523244835,11.6792585629842,11.6345140963688
"KIAA0101",10.6092984122469,10.0257843566781,9.54984963564836,9.50522382575354,9.89002008489518,11.1032782773673
"BIRC3",8.23075852200983,9.11391149082612,9.38449366560736,8.45643897122181,7.7330207242216,7.91441803819419
